Country,Capital,Area(km.sq),Population(mio),Pop. Growth,Currency,Inflation,Official name of Country
Qatar,Al Dawhah,11 437 ,1.7,0.96%,Riyal,Not known,State of Qatar
Rwanda,Kigali,26 383,10.41,2.87%,Franc,Not known,Rwandese Republic
Saint Kitts and Nevis,Basse Terre,269,0.05,0.85%,E.C. Dollar,Not known,
Saint Lucia,Lastries,620,0.17,0.42%,E.C. Dollar,Not known,
Saint Vincent and the Grenadines,Kingstown,340,0.11,-0.34%,E.C. Dollar,Not known,
Saudi Arabia,Riyadh,2 240 000 ,27.14,1.85%,Riyal,Not known,Kingdom of Saudi Arabia
Senegal,Dakar,196 192,12.86,2.71%,CFA-Franc,Not known,Republic of Senegal
Sierra Leone,Freetown,71 740,5.84,2.18%,Leone,Not known,Republic of Sierra Leone
Solomon Islands,Honiara,27 556,0.53,2.39%,Dollar,Not known,
Somalia,Mogadishu,637 657,9.36,2.82%,Shilling,Not known,Somali Democratic Republic
South Africa,Pretoria,1 221 000 ,49.99,0.28%,SA Rand,Not known,Republic of South Africa
South Korea,Seoul,99 022 ,48.99,0.27%,Won,Not known,Republic of Korea
Sri Lanka,Colombo,65 610 ,20.41,0.90%,Rupee,Not known,Democratic Socialist Republic of Sri Lanka
Sudan,Khartoum,2 505 813,43.19,2.14%,Pound,Not known,Republic of Sudan
Suriname,Paramaribo,163 270,0.52,1.10%,Gulden,Not known,Republic of Suriname
Swaziland,Mbabane,17 363,1.2,1.31%,Lilangeni,Not known,Kingdom of Swaziland
Syria,Damascus,185 180 ,20.94,2.01%,Pound,Not known,Syrian Arab Republic
Taiwan,Taipei,39 179 ,23.16,0.23%,Dollar,Not known,
Tajikistan,Dusjanbe,143 000 ,7.07,1.88%,Rubl,Not known,Republic of Tajikistan
Tanzania,Dar es Salaam,945 087,43.19,2.04%,Shilling,Not known,United Republic of Tanzania
Chad,N'djamena,1 284 000,11.51,2.07%,CFA-Franc,Not known,Republic of Chad
Thailand,Bangkok,513 115 ,67.07,0.63%,Baht,Not known,Kingdom of Thailand
Togo,Lomé,56 785,6.78,2.75%,CFA-Franc,Not known,Togolese Republic
Tonga,Nuku'alofa,748,0.1,1.48%,Pa'anga,Not known,Kingdom of Tonga
Trinidad and Tobago,Port Of Spain,5 130,1.32,-0.10%,Dollar,Not known,Republic of Trinidad and Tobago
Tunisia,Tunis,154 300,10.44,0.98%,Dinar,Not known,Republic of Tunisia
Turkmenistan,Aschabad,448 100 ,5.18,1.14%,Manat,Not known,
Tuvalu,Fongafale,25,0.01,1.62%,Aus Dollar,Not known,
Uganda,Kampala,241 139,31.8,2.69%,Shilling,Not known,Republic of Uganda
United Arab Emirates,Abu Dhabi,83 657 ,4.71,3.69%,Dirham,Not known,
Uruguay,Montevideo,176 220,3.36,0.47%,Nuevo Peso,Not known,Eastern Republic of Uruguay
Uzbekistan,Tasjkent,447 000 ,27.79,0.94%,Som,Not known,Republic of Uzbekistan
Vanuatu,Port Vila,14 760,0.25,1.40%,Vatu,Not known,Republic of Vanuatu
Venezuela,Caracas,912 050,29.12,1.51%,Bolivar,Not known,Republic of Venezuela
Samoa,Apia,2 831,0.19,1.35%,Tala,Not known,Independent State of Western Samoa
Western Sahara,No Capital,266 000 ,0.53,2.83%,Not known,Not known,
Vietnam,Hanoi,329 566 ,86.93,1.14%,Dong,Not known,Socialist Republic of Viet Nam
Yemen,San'a,531 869 ,22.49,2.79%,Rial,Not known,Republic of Yemen
Zambia,Lusaka,752 614,13.05,1.63%,Kwacha,Not known,Republic of Zambia
Zimbabwe,Harare,390 759,12.64,1.53%,Dollar,Not known,Republic of Zimbabwe
