Date,Customer,Sales,,,
2/27/2011,The Asian Trade House,"1,200",,,
3/2/2011,The Karachi Express,"1,390",,,
3/6/2011,The Kazach Dairy Center,"2,090",,,
3/11/2011,The Mongolian Barbecue House,"2,090",,,
3/15/2011,The Noodle Shop,"2,090",,,
3/18/2011,The Noodle Shop,"2,090",,,
3/22/2011,The Noodle Shop,"2,090",,,
3/26/2011,Unallgemeine Elektrische GmbH,"2,090",,,
3/31/2011,Unallgemeine Elektrische GmbH,"2,090",,,
4/4/2011,Unallgemeine Elektrische GmbH,"2,090",,,
4/9/2011,Veliotti,"2,090",,,
4/14/2011,Veliotti,"2,090",,,
4/17/2011,Vienna Music Shop,"2,000",,,
4/22/2011,Westman Koyak,"2,189",,,
4/26/2011,"Wolfen, Franken & Stein","1,910",,,
4/29/2011,"Wolfen, Franken & Stein","2,150",,,
