Date,Customer,Sales,,
29/04/2010,Moe's Laundromat,"1,230",,
06/05/2010,Moe's Laundromat,"1,850",,
15/05/2010,Moe's Laundromat,"1,850",,
22/05/2010,Moe's Laundromat,"1,850",,
28/05/2010,Moldavian Vines,"1,850",,
04/06/2010,Mombasa Airways,"2,000",,
10/06/2010,Monday Motor,"1,400",,
19/06/2010,Moon Computers,"1,400",,
26/06/2010,Moose Manure AB,"1,400",,
04/07/2010,Multibank,"1,400",,
09/07/2010,Napa Ultrasonic,"2,210",,
16/07/2010,Neumann & Fritz,"1,829",,
23/07/2010,New-Kia Computers,"1,940",,
28/07/2010,Newzda,"1,800",,
05/08/2010,NyBro Medical equipment,"1,800",,
11/08/2010,NyBro Medical equipment,"1,800",,
16/08/2010,Outdoors Corp,"1,800",,
25/08/2010,Pacific Development,"1,500",,
03/09/2010,Param SBN,"2,120",,
11/09/2010,Pei-Akei Bank,"2,030",,
17/09/2010,Pey-Ote,"2,030",,
26/09/2010,PW Service,"1,410",,
05/10/2010,Red Star Corp,"2,120",,
13/10/2010,Rocher & Colate,"1,900",,
18/10/2010,Royce & Co. Ltd,"2,120",,
22/10/2010,S'clock AktienGesellshaft,"1,640",,
26/10/2010,SamYang Electronic Devices,"1,739",,
30/10/2010,SamYang Electronic Devices,"1,739",,
02/11/2010,Shamrack Café,"1,739",,
05/11/2010,Shitoba,"1,739",,
10/11/2010,Siberian Trade,"1,450",,
13/11/2010,Silverstar,"1,940",,
16/11/2010,Sky Dive Equipment,"1,970",,
19/11/2010,Sky Dive Equipment,"1,640",,
24/11/2010,Sommerthur,"1,640",,
27/11/2010,Sputnik Trading,"1,640",,
02/12/2010,Standard Centered,"1,640",,
05/12/2010,Standard Centered,"1,580",,
09/12/2010,Stella Drugs Inc,"2,200",,
14/12/2010,Stella Drugs Inc,"1,640",,
18/12/2010,Strutz Wolfcat Motors Inc,"2,150",,
22/12/2010,Strutz Wolfcat Motors Inc,"1,889",,
26/12/2010,Technology Industries,"1,829",,
29/12/2010,The Asian Trade House,"1,850",,
03/01/2011,The Asian Trade House,"1,610",,
07/01/2011,The Asian Trade House,"1,850",,
12/01/2011,The Asian Trade House,"2,210",,
16/01/2011,The Asian Trade House,"2,009",,
19/01/2011,The Asian Trade House,"1,700",,
23/01/2011,The Asian Trade House,"1,700",,
27/01/2011,The Asian Trade House,"1,580",,
30/01/2011,The Asian Trade House,"2,060",,
03/02/2011,The Asian Trade House,"1,940",,
08/02/2011,The Asian Trade House,"1,640",,
13/02/2011,The Asian Trade House,"1,640",,
17/02/2011,The Asian Trade House,"1,640",,
22/02/2011,The Asian Trade House,"1,829",,
27/02/2011,The Asian Trade House,"1,200",,
02/03/2011,The Karachi Express,"1,390",,
06/03/2011,The Kazach Dairy Center,"2,090",,
11/03/2011,The Mongolian Barbecue House,"2,090",,
15/03/2011,The Noodle Shop,"2,090",,
18/03/2011,The Noodle Shop,"2,090",,
22/03/2011,The Noodle Shop,"2,090",,
26/03/2011,Unallgemeine Elektrische GmbH,"2,090",,
31/03/2011,Unallgemeine Elektrische GmbH,"2,090",,
04/04/2011,Unallgemeine Elektrische GmbH,"2,090",,
09/04/2011,Veliotti,"2,090",,
14/04/2011,Veliotti,"2,090",,
17/04/2011,Vienna Music Shop,"2,000",,
22/04/2011,Westman Koyak,"2,189",,
26/04/2011,"Wolfen, Franken & Stein","1,910",,
29/04/2011,"Wolfen, Franken & Stein","2,150",,
